InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,108.37571090933022,62.774190267519096,176.23119445025532,129259.0392658657,120385.22612720958,133823.91813517807,0.015191258872890658,1.1394550995496743e-6,0.03825957213111506,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,129.16291528057718,63.550176995004044,178.33541820436972,147037.29625171048,140241.99805826615,157488.00030434952,0.03699979257324101,0.018474536588247555,0.05504932087278747,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,126.5007946394673,71.55017699500405,256.1745846237986,144302.10788706993,107855.59192216578,177873.51128391371,0.023620562262752137,3.615780651266688e-5,0.12462918467544412,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,SA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,119.74409480076056,64.0705891594859,214.39064909369495,143547.84521834587,102503.02936567579,180699.08930256125,0.02331163245391308,0.0002916271639837705,0.10720726331373107,133.73778009414673,46.4
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,148.3213141582414,0.0,460.49835015782804,143319.06592435323,107175.30130415891,159884.95821548754,0.02106241433303535,1.6770346812839457e-5,0.23009111695413476,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,155.76240865633403,9.415180768325387,379.8618996443261,143749.74654723794,104123.77981896569,162254.13229603897,0.02989619599867023,3.137460963676557e-5,0.2128777782918219,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,147.03145575574584,1.4005369577772775,328.65983594995964,145588.12108415284,126145.50336055912,167949.35582120944,0.06765932340871365,0.00398196028527558,0.14866505852311704,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,168.18274102686732,0.0,694.208538852951,143654.9555901723,104298.2540842665,160716.26038226477,0.02920658565637367,2.4870294233426676e-5,0.1937175099832421,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,139.56376447911464,0.0,434.10847938442316,143829.60659881012,100920.32183034629,163647.09022397557,0.029660639426792253,8.397031466443831e-7,0.30792460194862936,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,139.08486717326988,0.0,270.3436177335851,139229.6640949352,126983.60367612589,151929.3138253622,0.0335137211951106,1.8089032241478244e-5,0.0847289533551034,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,141.79605292577855,0.0,504.16437892030837,143477.68413178012,103892.39126922889,161029.28278192182,0.02952320145258736,3.147541733950669e-5,0.24791261681249666,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,138.9941932939196,32.425461450992366,298.6018616418624,145343.7567970327,128511.30162172376,167879.39729361868,0.06647588902517121,1.8468305933430676e-6,0.14836182057287023,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,136.9665263928931,0.0,459.480118830123,144046.11425575026,110595.04005902712,161659.50439673016,0.029967778230092054,7.789885043055497e-6,0.22631953435106952,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,SA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,142.2862666219085,0.0,307.2228021195717,147855.29547833934,132395.44497714273,161945.20664823003,0.03897698981388135,8.909921588115411e-5,0.1053114172938268,156.79246282577515,65.58
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,10,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,57.59218078506623,1.1385413638854969,146.26234402279977,150085.05420613344,143028.12772962896,159043.65916936734,0.0170359172074631,4.392640675133628e-5,0.05098717517845666,123.45067715644836,42.35
