InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,122.3992954090542,63.67407598150815,220.1438095220129,144338.6231562128,107328.70291120901,174327.14258403296,27.358427490544322,0.004707729079153352,204.41014671354304,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,121.71130884932629,67.39121959645995,213.19804487751685,143553.48888945172,102580.72486961554,178227.1405350223,19.728005319173363,0.0019327197886363147,158.40611302631496,27.475358963012695,14.32
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.7989590484065,0.9745934415060011,377.23160633736114,144335.21677177915,117883.81205280405,161510.9874335996,46.162806255384176,0.02444674303760838,271.7599348527184,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.7989590484071,0.0,369.07106450253445,144646.72055406243,106293.5253336049,162631.20533150472,49.44408929537089,0.0,330.58912027962566,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904840703,0.0,291.2132459519096,143579.13887102084,135219.28090018625,149952.1218070269,14.591677467812573,0.0,237.4965382123198,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904840654,4.067500152604728,375.66886485725416,144584.52084962602,118137.80651443962,162164.25410507675,26.91674780559948,0.0015345835336991165,218.67025491952552,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904841072,3.8345667340436407,402.87260588123377,144735.52504506937,112886.80779694478,165265.6455240651,14.823490322235887,0.0013561263033512235,249.75450652569688,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,6,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904840683,31.173679024490298,313.0259883613018,135617.7094285964,128330.87399101145,139656.81702247617,29.573301227028754,0.010731812453499218,183.0354307166806,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,7,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904840012,0.0,369.93965912156955,142862.11828834188,117356.56797852673,159535.66680925697,35.71587849064431,0.0,266.74302990956323,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,8,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904840626,0.0,318.1018798738231,143759.7151335564,130900.9079677701,154651.41094525906,28.810529469156606,0.0,318.1018798738231,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,9,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904840546,3.190839824450358,343.9170837985043,143573.77061646045,118360.75041262122,160122.22439673016,29.2049625841256,0.01346391604585668,315.1044548567231,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,10,1.0,1.0,LEXMMFPEA,10,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,145.79895904840765,0.0,330.5887217278538,146338.47586615337,136097.40944248205,161045.95413408443,66.59081690308113,0.0019193950093376972,242.59879030566307,29.37922501564026,16.37
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,56.06112749276081,0.0,188.51170712571601,150438.60361895224,143218.0478145387,156819.45835521485,22.932126428811657,0.0,144.01958037378833,30.063424348831177,13.98
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,56.061127492761244,0.0,185.6971877765272,150936.55267332355,139820.80009133567,160116.28931344478,22.82368066269095,0.0,181.16122395843254,30.063424348831177,13.98
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,56.0611274927607,0.0,163.22357205686194,147852.92138868317,127860.47111790853,163078.6455436362,13.3774847283735,0.0,87.28098799382133,30.063424348831177,13.98
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,56.061127492761216,0.0,190.2686548356659,154804.9071295558,103760.41221849542,189475.95243951443,23.122055012012353,0.0,177.65233333602407,30.063424348831177,13.98
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,10,1.0,1.0,LEXMMFPEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,56.06112749276054,0.0,215.32489817660507,155717.8095370891,114941.78268363679,198167.48125671718,22.581030593273727,0.0,214.82456704310226,30.063424348831177,13.98
