ExperimentID,FormulationID,Metric,Baseline,Comparison,Observations,Mean,StandardDeviation,StandardError,ConfidenceLow,ConfidenceHigh
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|NONE,TWO_STAGE_RH|NONE,10,0.4196432410128182,1.3270284462443598,0.4196432409966494,-0.4028575113406146,1.242143993366251
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|NONE,MULTISTAGE_RH|NONE,10,-12.919251191132934,19.999306302746685,6.3243359540040505,-25.314949660980872,-0.5235527212849949
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,TWO_STAGE_RH|NONE,MULTISTAGE_RH|NONE,10,-13.338894432145754,20.614023929619076,6.518726735881079,-26.115598834472667,-0.56219002981884
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,TWO_STAGE_RH|STATIC_DEMAND_SHARE,10,0.4196432410099078,1.3270284462249302,0.4196432409905052,-0.4028575113314824,1.242143993351298
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,MULTISTAGE_RH|STATIC_DEMAND_SHARE,10,-12.919251191106742,19.999306302722825,6.324335953996505,-25.31494966093989,-0.5235527212735924
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,TWO_STAGE_RH|STATIC_DEMAND_SHARE,MULTISTAGE_RH|STATIC_DEMAND_SHARE,10,-13.33889443211665,20.614023929585084,6.51872673587033,-26.115598834422496,-0.5621900298108038
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|PEA,TWO_STAGE_RH|PEA,10,142.22143553035568,600.9881378345468,190.04913623003821,-230.2748714805192,514.7177425412306
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|PEA,MULTISTAGE_RH|PEA,10,527.9782352460709,2703.172814804105,854.8183003829497,-1147.4656335045106,2203.4221039966524
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,TWO_STAGE_RH|PEA,MULTISTAGE_RH|PEA,10,385.75679971571515,2584.506707417509,817.2927823421722,-1216.1370536749423,1987.6506531063728
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|SA,TWO_STAGE_RH|SA,10,-606.4930373196606,1490.953508911524,471.4808973580569,-1530.595596141452,317.60952150213086
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|SA,MULTISTAGE_RH|SA,10,-1798.4394927559886,2621.7166251118665,829.0595914883293,-3423.3962920731137,-173.48269343886318
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,TWO_STAGE_RH|SA,MULTISTAGE_RH|SA,10,-1191.946455436328,2728.213460578395,862.7368478557723,-2882.9106772336418,499.01776636098566
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|LEXMMFPEA,TWO_STAGE_RH|LEXMMFPEA,10,982.5043084099831,2225.8922459073997,703.888932317499,-397.1179989323149,2362.126615752281
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,DETERMINISTIC_RH|LEXMMFPEA,MULTISTAGE_RH|LEXMMFPEA,10,1048.4845874699108,3412.8205895154783,1079.2286308387474,-1066.8035289740342,3163.772703913856
oos_timing_probe,shared_battery_mode_node_level_v1,total_savings__controller_difference,TWO_STAGE_RH|LEXMMFPEA,MULTISTAGE_RH|LEXMMFPEA,10,65.98027905992785,2720.4506396908787,860.2820283485242,-1620.1724965031797,1752.1330546230354
