InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.48034812757755e6,1.4803481275775116e6,1.3789693699607572e6,1.6146378516752457e6,0.32169515555342615,2.296514065570843e-5,4.03599995341588,108.27832007408142,53.09
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3940740629172742e6,1.3940740629172788e6,1.11659673662121e6,1.6457373215369415e6,0.3332413408468441,3.606072455339464e-6,4.733059697685794,115.33543491363525,70.81
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,712230.0903367611,712230.0903367602,647454.6359205473,766123.9163590763,0.09956233076565527,4.0275042251570056e-6,0.7704994192979283,48.2080979347229,25.81
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,592106.2374885012,592106.2374885008,526173.0589515748,726690.4933441433,0.09525418574732221,5.964870893245821e-6,0.5823215644990786,95.37040615081787,46.65
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,735286.5658035736,735286.5658035665,595672.7812929965,964919.9790410519,0.2370202549367848,7.203497673009962e-7,2.8359478497444197,84.00008082389832,54.02
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,681968.7179623499,681968.717962351,543373.3441709788,803484.2293704448,0.1681241338920061,4.783195745834303e-7,2.0125263847186723,56.088823080062866,34.04
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4349972270484625e6,1.4349972270484725e6,1.333272830737554e6,1.581863006947266e6,0.17091792876960712,8.714661668442593e-6,2.5644429652869882,85.76583909988403,42.62
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.329475936445762e6,1.329475936445755e6,1.0708950927423735e6,1.5234110013117343e6,0.18577382678812812,4.673570603031191e-6,1.7323160171881233,90.34086799621582,48.77
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4707079254064728e6,1.4707079254064742e6,1.3049906001816152e6,1.6768312331214356e6,0.27329638348163904,0.0,8.327894667569943,88.14290285110474,50.49
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3496948883993404e6,1.349694888399339e6,1.1390914109793669e6,1.5940871111406153e6,0.22697216231443576,0.0,6.860122804814421,86.02365708351135,45.12
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,715874.1973090342,715874.1973090379,631773.7725734178,814905.8845334314,0.13927984977260377,5.6181662404606675e-6,0.801443485863351,53.84017825126648,24.97
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,724098.6006260458,724098.6006260455,589725.2930605297,854863.5097665465,0.19034024340603936,1.4155072624806138e-6,1.5184259561655262,49.75324892997742,27.75
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,765585.4165623075,765585.4165622493,639656.6825653405,1.1530286757990203e6,0.18057747309567845,1.6215885058042529e-6,0.7848911156835684,53.92618703842163,27.43
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,756311.7866387584,756311.7866387556,621153.6122246825,1.0653153247251753e6,0.27935831826377555,9.423033631085758e-6,2.7489814456342843,42.06725597381592,20.04
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.288088273295212e6,1.2880882732952144e6,1.1982771647430402e6,1.422439258021296e6,0.15513429733277884,6.948500812310694e-6,1.5168935912761183,49.8279869556427,21.33
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5024606673988854e6,1.50246066739888e6,1.3816590410623606e6,1.6291617599277764e6,0.186802751122622,4.964513317381359e-7,1.1670067375759994,63.62330985069275,40.43
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.479144909543825e6,1.4791449095438216e6,1.302100102989782e6,1.6187307841972618e6,0.29883090544386115,0.0,7.742141993866485,58.41435217857361,35.04
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4624813988995631e6,1.4624813988995864e6,1.2903708029458905e6,1.6473717580833903e6,0.33965433514774285,1.8574505500939524e-5,6.92158087962673,69.20240592956543,40.89
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,520293.0620552585,520293.0620552581,407512.9005131925,747391.0355429067,0.20073272872378153,6.213891908763703e-5,2.7351695479151923,33.31204795837402,18.36
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,635586.0107422695,635586.0107422754,538870.0168612812,793446.2651880466,0.14580563708672892,6.169852581230606e-7,1.7310334120574973,30.85246515274048,16.12
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,765853.8776455197,765853.8776455208,648256.6325521688,984752.6586404471,0.3398105495801607,0.0,3.6248851423883335,31.799607038497925,16.04
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,785606.7233343786,785606.723334376,650259.8692370658,1.0643122780180327e6,0.2426762178650224,2.2426277168966975e-7,3.1795476558976463,37.45200300216675,23.08
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2641845712112428e6,1.264184571211237e6,1.1310052343089913e6,1.4585435744972562e6,0.16228302269523587,2.4402413521131183e-6,1.9691625408707856,61.89808487892151,31.05
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2738091941378927e6,1.2738091941379006e6,1.0466269597482033e6,1.4794440868839521e6,0.17264421179694295,4.101323010728099e-6,1.3317261680571164,60.87920689582825,34.09
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1762359432298618e6,1.1762359432298634e6,853279.4868690354,1.607424276429516e6,0.2187454833225107,1.1235856876191519e-6,5.596162248182761,58.4143271446228,28.19
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4745809784732778e6,1.4745809784732938e6,1.2929339608248598e6,1.7200860606632638e6,0.27310001554427626,4.119334033168588e-6,8.122590915534955,61.66916584968567,30.67
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,700238.3591909342,700238.3591909761,657202.3856553447,751990.9883247368,0.13809838200121882,3.099315178981175e-6,0.995491485545095,36.80901503562927,24.22
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,741286.3757739177,741286.37577392,628702.8626835438,914446.7660691557,0.11332406592303038,1.253716263070446e-5,0.6834791504685994,32.04532718658447,18.25
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,751623.6012101413,751623.6012101436,624161.4374579538,967961.1976772957,0.23781409871300313,5.457715813361858e-6,3.4942596127598904,26.763795137405396,13.76
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,525728.3966270203,525728.3966270294,368572.1210798262,749349.2557777005,0.15730460449661895,1.6959534848322215e-8,1.8697763120621549,35.16225481033325,23.21
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3915999299581705e6,1.3915999299581836e6,1.282616182854549e6,1.5066943933510806e6,0.17679745820341006,9.395500201310424e-7,1.0804750897051443,59.7992889881134,31.86
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.295641945547207e6,1.2956419455471742e6,1.1157845768029103e6,1.5209696246589087e6,0.1795259438591075,4.26998438323607e-6,2.662366212500333,70.68864488601685,43.58
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.412481454020691e6,1.412481454020686e6,1.253638594928605e6,1.5938034738377146e6,0.2375645575672117,1.5320447580959257e-6,4.340892779434018,78.86113500595093,48.77
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1438511188647726e6,1.1438511188647684e6,632245.5522768592,1.574838020709247e6,0.2464041475439723,1.0904940295101542e-7,4.464760935879295,87.79463386535645,50.65
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,584529.2139565421,584529.2139565322,511927.0179804703,691520.2522711282,0.1056506693430357,2.845128304533375e-6,0.8853731260347297,44.71612787246704,28.39
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,467881.6738048481,467881.6738048484,367528.8273225971,675419.5378967104,0.06728198310480993,4.245287873120239e-6,0.5500847710422969,35.547024965286255,17.94
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,823363.8347546728,823363.8347546703,676102.8332469664,1.1170038849819766e6,0.20382326663084577,3.234568751104506e-7,1.103314696677678,47.96738791465759,31.08
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,718167.6397123337,718167.6397123325,559078.8085877462,1.0726388698553585e6,0.20544860201894263,2.8210999114612287e-6,1.3807631845016337,49.016857862472534,31.76
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3293907038520244e6,1.329390703852028e6,1.227067677140041e6,1.4411821525713182e6,0.1524722957305698,1.8595723021909465e-6,1.801133505449875,62.38801121711731,27.22
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4470650355983225e6,1.4470650355983141e6,1.3374193871783942e6,1.5772705395703774e6,0.184341415310786,3.029619343040327e-6,1.7755689602733475,115.55729007720947,74.62
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4511857857415657e6,1.451185785741558e6,1.324788373254741e6,1.7406377934974562e6,0.2536923351783473,9.661035553201912e-6,5.14389820923266,76.05276370048523,40.6
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3794171232263716e6,1.3794171232263765e6,1.1167695232729584e6,1.5781600820987127e6,0.2417658276500363,0.0,8.465091684447287,81.92820596694946,55.39
