InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,AllGridExpectedCost
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,1,156356.22132395164
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,2,154009.72121305086
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,3,178085.42207825423
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,4,159352.5217661397
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,5,161035.2294726957
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,1,175461.2806956777
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2,151193.37406910717
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,3,179386.52102099557
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,4,152388.8964258586
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,5,154164.22250572612
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,5,1,160357.9008325417
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,5,2,153872.0194444692
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,5,3,158057.13298652793
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,5,4,159882.0410229112
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,5,5,160697.67752602944
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,1,157420.41945094254
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2,154508.36337901832
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,3,165860.99753540457
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,4,158054.54159947744
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,5,153317.74921382152
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,5,1,158199.86391112325
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,5,2,166388.78187655754
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,5,3,166933.36599521287
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,5,4,167500.69404939743
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,5,5,162720.0673520385
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,5,1,356931.3715579153
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,5,2,147947.528803102
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,5,3,163121.1112521233
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,5,4,150239.88184912803
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,5,5,135110.32045405768
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,5,1,158264.64561057382
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,5,2,135248.88175806502
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,5,3,226594.89339368913
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,5,4,214010.2797746122
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,5,5,144782.11718928168
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,5,1,153465.75933388626
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,5,2,150004.43834090483
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,5,3,228204.54893676902
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,5,4,227876.71276209728
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,5,5,153546.11542085308
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,5,1,145994.73831666762
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,5,2,168410.44053431335
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,5,3,146614.76557440145
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,5,4,427627.48604133015
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,5,5,146064.9413677984
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,5,1,147508.31808180688
