InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,RunTimeSec,ModelSolveTimeSec
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.300657797604799e-9,5.959009286016226e-9,79.5432460308075,72.78
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.1911546355113385e-9,5.44787326361984e-9,35.355955362319946,23.51
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.476169124245644e-9,8.672941476106644e-9,32.45043730735779,27.18
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.0535586625337602e-9,2.0590960048139095e-9,65.72413682937622,60.65
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.292007022537291e-9,1.4659235603176057e-8,393.815847158432,380.71000000000004
7,Drahi_7.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.0740117179229856e-9,8.803908713161945e-9,775.0832660198212,737.28
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5448677004314958e-9,6.5210770117118955e-9,789.1459481716156,772.4100000000001
7,Drahi_7.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.044015314429998e-10,2.2228050511330366e-9,593.5867757797241,549.56
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.967173587530851e-10,1.2114469427615404e-9,132.7983260154724,124.26
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1263182386755944e-9,2.801243681460619e-9,74.92465496063232,56.79
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.206353772431612e-9,2.9358488973230124e-9,71.77336812019348,63.56
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.639311322942376e-9,1.2980308383703232e-8,27.892253160476685,21.73
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.7291313270106912e-9,6.961272447369993e-9,302.99178194999695,290.65
8,Drahi_8.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2115378922317176e-9,5.257788870949298e-9,550.5718729496002,536.3499999999999
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1660631571430712e-9,5.360561772249639e-9,101.9112229347229,86.78
8,Drahi_8.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.921104507753626e-9,1.9118488125968724e-8,118.01791620254517,99.17
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.0052539184689523e-9,5.820766091346741e-9,71.39169716835022,64.69
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.213223630562425e-10,8.803908713161945e-10,70.9737479686737,60.72
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1772499419748784e-9,2.8048816602677107e-9,53.89489006996155,47.620000000000005
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.962203092873097e-10,1.9863364286720753e-9,38.456961154937744,32.25
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.010973159689456e-9,1.5586920198984444e-8,298.82003116607666,286.18
9,Drahi_9.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.278546500951052e-9,1.5099431038834155e-8,294.1044421195984,272.5
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.7830643628258258e-9,7.945345714688301e-9,142.19950890541077,128.48
9,Drahi_9.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.91713022813201e-10,2.650267560966313e-9,83.06010389328003,69.75
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.7636921256780625e-9,3.768946044147015e-9,49.48927187919617,40.81
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.2650056052953006e-9,5.707988748326898e-9,103.17171311378479,94.72999999999999
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.064066499471664e-10,1.0622898116707802e-9,75.75293612480164,68.59
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.6283593140542508e-9,3.841705620288849e-9,60.6250159740448,51.37
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4044417184777558e-9,4.220055416226387e-9,273.8893349170685,252.87
10,Drahi_10.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.463195076212287e-9,6.4437699620611966e-9,231.7345278263092,216.14000000000001
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.770652933279052e-9,2.7822352421935648e-8,447.4698097705841,432.72
10,Drahi_10.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.831658876966685e-10,2.029992174357176e-9,302.2888271808624,276.15
