InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,9,inst/inst2020,true,375.729382798011,6.648964539563119,1982.55670017055,150546.99588950697,101039.21633303163,179376.97146521634,0.16766442048459448,3.3107778967206755e-6,1.2708394192807166,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,mixed,10,1.0,1.0,SA,10,inst/inst2020,true,465.71562604887083,10.648964539563119,2017.8382386848282,150261.6372025983,94335.23142378639,180661.14462138808,0.1765587250020577,7.562053411749368e-5,1.2391870740895687,77.21441602706909,58.17
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,1,inst/inst2020,true,718.4966887711187,0.0,2366.534569709779,187232.94576354433,0.0,9.909654010469984e7,0.46723497843410955,0.014154160454947018,4.601463983306847,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,2,inst/inst2020,true,97.93537793791381,0.0,571.825122346204,143664.21081610495,101856.7338859664,181475.4113068164,0.25362451994410845,1.8674769891745226e-5,0.9917380376682737,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,3,inst/inst2020,true,102.22224618823249,0.0,572.7587262526974,140766.46632543174,90151.0651341811,190183.42395931762,0.2463625853803306,0.00011051831609214081,0.9920563770051165,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,4,inst/inst2020,true,49.65213770155224,0.0,128.93973181274032,139736.16884581457,128325.8333383086,152082.54362382463,0.20461676278826893,3.910887060755574e-5,1.0211905759202582,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,5,inst/inst2020,true,57.66175724241039,0.0,96.26091839163861,127699.732537508,115685.04313607316,138897.77519091938,0.2708537333563613,0.006375549669796176,1.1949763299677116,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,6,inst/inst2020,true,111.5783744753909,0.0,672.4893448554294,141254.02033343352,90995.24584610738,182117.07878403063,0.24629939881243532,3.943555523967238e-5,0.9916530402717258,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,7,inst/inst2020,true,109.75494915741652,0.0,629.0559109857634,142161.32695590917,98813.22635830291,193541.23654867808,0.25041168821661963,1.141103104698048e-5,0.9915789363275456,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,8,inst/inst2020,true,62.18088775022931,0.0,107.92638307243651,132031.16462793964,119735.61539219813,147330.0634661643,0.2425284013901785,0.00019195775224310774,1.059498821468667,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,9,inst/inst2020,true,685.0102815209738,0.0,2852.4310208478337,181516.24491155922,10984.17019390583,8.091795389037289e7,0.44634540521459665,0.029753577001286613,4.104238625423164,58.12396287918091,39.02
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,mixed,10,1.0,1.0,SA,10,inst/inst2020,true,67.41089637987152,0.0,137.3987083355067,127040.33197788523,112869.47372121335,135113.08435108006,0.18440223028229252,0.0009806842205320892,0.9916098302625257,58.12396287918091,39.02
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,342.36614799536153,0.0,1258.417473163847,138772.51576298513,2183.719999999997,2.6951897910436846e7,0.34987489609126465,0.001404897252287709,1.585805851563795,11.743867874145508,6.43
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,594.6555055368862,20.0,1275.8018294969186,135606.3305900671,100405.79335537158,172367.442127994,0.30957329884328255,0.00029855561405546884,1.246403665438107,11.743867874145508,6.43
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,128.32366696812701,0.0,269.3398608836269,142590.25143128453,110861.57689041611,164115.5047897273,0.26765895269061,0.0022518630928713853,1.2504907008252784,11.743867874145508,6.43
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,4,inst/inst2020,true,362.0782680890228,0.0,1298.818141601643,140708.34895629724,2086.5478116343434,3.103470982803076e7,0.3653735476549642,0.00039371926229198273,1.804645006119515,11.743867874145508,6.43
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,SA,5,inst/inst2020,true,611.5304847665351,0.0,1149.449560187727,134749.5231762006,96016.71776116807,170747.4281438582,0.3087466908925366,0.00036972266320967973,1.1574974979783852,11.743867874145508,6.43
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,SA,1,inst/inst2020,true,311.296456292925,145.30680923328032,620.0034692123928,140369.0400634462,98117.29903640402,184723.06200214606,0.03871863428841431,1.1884312965298706e-5,0.18643932393697024,8.337683916091919,2.87
