ConfigID,RandomInstanceID,TreeSpec,Fairness,ConditionalStage,House,ExpectedPV,ExpectedESS,ExpectedPVPlusESS,ExpectedPSR,ExpectedESR,ExpectedPESR,ExpectedSavings,ExpectedSavingsRate,ExpectedCost,PVShare,ESSShare,PVESSShare,SavingsShare,RunTimeSec,ModelSolveTimeSec
C0008,R003,6:4:4,LEXMMFSA,,1,184.43015817058128,9.926509405482195,194.35666757606347,0.2300378995549438,0.012423883003145156,0.2424617825580888,9947.263903775369,0.0673694348003311,137705.21282037967,0.21131138435930955,0.2809024652775895,0.21401938180960733,0.19991490326470138,78.68170595169067,77.09
C0008,R003,6:4:4,LEXMMFSA,,2,59.61760592307188,3.2452724329089966,62.862878355980875,0.0685831794591301,0.003829435699416484,0.07241261515854669,9959.3494037755,0.058172729354863555,161243.71282529362,0.0683070435158451,0.09183540655268793,0.06922260261153253,0.20015779131781866,78.68170595169067,77.09
C0008,R003,6:4:4,LEXMMFSA,,3,56.70652386917097,3.2126495595973945,59.91917342876837,0.06728403959489089,0.003912169924069787,0.07119620951896086,9957.349403774831,0.058884512408193534,159142.28302163194,0.06497166287693469,0.09091223757522174,0.06598108835524721,0.20011759636466062,78.68170595169067,77.09
C0008,R003,6:4:4,LEXMMFSA,,4,416.1217050025974,3.6546251819474858,419.7763301845449,0.5143619326063305,0.004602996360709039,0.5189649289670398,9947.263903774874,0.06627849219595121,140135.56951926017,0.47677264075611,0.10341935733296569,0.46224434594836833,0.19991490326469144,78.68170595169067,77.09
C0008,R003,6:4:4,LEXMMFSA,,5,155.91256374092237,15.29886541257032,171.21142915349267,0.18626610989383663,0.01837292840781705,0.20463903830165464,9946.26390377531,0.06468393205639121,143820.88641578465,0.1786372684918007,0.432930533261535,0.1885325812752446,0.1998948057881279,78.68170595169067,77.09
C0009,R004,6:4:4,LEXMMFSA,,1,132.07300946443866,16.36196000453144,148.4349694689701,0.16525706167991017,0.02048540529449159,0.18574246697440125,4486.379881574918,0.03069831315204108,141657.80267839177,0.3543144757530265,0.3145934934210735,0.34945090196336587,0.19980054972194722,160.73332691192627,157.23
C0009,R004,6:4:4,LEXMMFSA,,2,45.32910973843705,2.051562499999997,47.38067223843704,0.05596592791705605,0.0025218299417471175,0.05848775785880325,4493.799110591703,0.028894508367478547,151030.53282957655,0.12160516231478903,0.03944565404559873,0.11154526934310902,0.20013096446059975,160.73332691192627,157.23
C0009,R004,6:4:4,LEXMMFSA,,3,6.1433794095171965,15.909848730823793,22.05322814034099,0.008027854714950565,0.02056859086193002,0.02859644557687995,4492.799110593798,0.029551517096073183,147539.97457028105,0.016480946891886398,0.30590069225474936,0.05191849664817068,0.20008642954501585,160.73332691192627,157.23
C0009,R004,6:4:4,LEXMMFSA,,4,149.60020409980382,15.638039995468558,165.23824409527236,0.18686200514088455,0.01951004108415799,0.20637204622504296,4486.379881574307,0.030653592584732495,141871.01262219436,0.40133497451983,0.3006745910068496,0.38900977070640136,0.19980054972192,160.73332691192627,157.23
C0009,R004,6:4:4,LEXMMFSA,,5,39.61075659910624,2.0484374999999972,41.65919409910624,0.05113595026522102,0.002590274274220198,0.0537262245394412,4494.933997436077,0.02981809700424673,146250.23249645196,0.1062644405204681,0.039385569271728815,0.09807556133895307,0.20018150655051717,160.73332691192627,157.23
C0010,R005,6:4:4,LEXMMFSA,,1,6.400048890645116,7.609999999999999,14.010048890645116,0.007828722203656633,0.00941964898866181,0.017248371192318746,2862.152583764633,0.017599060822687796,159768.83168301478,0.0327476969415272,0.18977556109725685,0.05948179215760558,0.20036314312635334,195.01422882080078,193.28
C0010,R005,6:4:4,LEXMMFSA,,2,50.71127437164404,0.49000000000000166,51.20127437164404,0.06379017511338075,0.0006177790448371975,0.0644079541582174,2864.2212785616575,0.018949124582954967,148289.0030312341,0.25947886852374347,0.012219451371571113,0.21738279317585102,0.20050796076956778,195.01422882080078,193.28
C0010,R005,6:4:4,LEXMMFSA,,3,37.879373525930994,10.881329758913232,48.760703284844226,0.04760325585778953,0.013623385559204657,0.0612266414169942,2853.150625035021,0.018327615627633985,152821.79820644867,0.19382074508450514,0.2713548568307539,0.20702097764872449,0.19973296681933536,195.01422882080078,193.28
C0010,R005,6:4:4,LEXMMFSA,,4,50.6466454668046,10.62977962198985,61.276425088794454,0.0631792542784875,0.013261511612328846,0.07644076589081635,2853.1506250362727,0.018248833414257114,153493.86401794993,0.25914817608287194,0.2650817860845349,0.2601583770151231,0.19973296681942296,195.01422882080078,193.28
C0010,R005,6:4:4,LEXMMFSA,,5,49.79774138071158,10.488890619096917,60.28663199980849,0.06246010801204306,0.013155676031861812,0.07561578404390494,2852.1506250370585,0.018339002046709768,152671.6133056599,0.2548045133673522,0.26156834461588324,0.2559560600026958,0.1996629624653206,195.01422882080078,193.28
